,0,1,2
440,memory,keep,
441,dumbledore,seem,
442,dumbledore,say,
443,dumbledore,say,
444,harry,say,
445,dumbledore,say,
446,harry,grip,forearm
447,dumbledore,say,
448,,gulp,lungfulls
449,harry,realize,
450,,ask,dumbledore
451,sensation,take,get
452,harry,say,
453,dumbledore,say,
454,scar,hurt,
455,harry,raise,hand
456,voldemort,get,
457,dumbledore,say,
458,voldemort,realize,access
459,harry,say,
460,,turn,corner
461,harry,look,
462,dumbledore,say,
463,,say,this
464,,proceed,street
465,harry,cast,look
466,dumbledore,say,
467,courtesy,dictate,
468,harry,say,
469,granger,tell,
470,harry,wonder,
471,correct,turn,street
472,,ask,harry
473,dumbledore,say,
474,harry,wait,
475,dumbledore,say,
476,dumbledore,say,
477,harry,say,
478,dumbledore,say,
479,,kill,people
480,,near,house
481,harry,follow,gaze
482,door,hang,
483,dumbledore,glance,
484,,open,gate
485,tip,ignite,
486,door,stand,
487,dumbledore,walk,
488,scene,meet,eye
489,lay,splinter,
490,key,strew,
491,fragment,lay,
492,dumbledore,raise,wand
493,intake,make,
494,dumbledore,move,
495,harry,follow,
496,harry,suggest,
497,dumbledore,say,
498,dumbledore,swoop,
499,dumbledore,say,
500,jaw,drop,
501,,crouch,man
502,,say,gruffly
503,wandlight,sparkle,
504,top,reach,chin
505,dumbledore,say,
506,wizard,clap,hand
507,,put,touch
508,,heave,sigh
509,,ask,dumbledore
510,other,say,
511,collection,fly,
512,,ask,dumbledore
513,chandelier,screw,
514,,repeat,wizard
515,,set,bottle
516,expression,shrewd,
517,face,turn,
518,,ask,dumbledore
519,slughorn,hesitate,
520,dumbledore,smile,
521,harry,take,seat
522,eye,fell,
523,,give,drink
524,,keep,horace
525,dumbledore,ask,
526,slughorn,say,
527,dumbledore,say,
528,,have,warning
529,slughorn,say,
530,,take,bath
531,dumbledore,say,
532,slughorn,say,
533,eye,find,hand
534,,see,reactions
535,sight,make,back
536,eye,linger,
537,,ask,dumbledore
538,eaters,want,
539,dumbledore,say,
540,dumbledore,say,
541,,save,breath
542,dumbledore,say,
543,slughorn,say,
544,harry,chuckle,
545,harry,say,
546,dumbledore,stand,
547,,ask,slughorn
548,dumbledore,say,
549,slughorn,get,
550,,shoot,look
551,harry,look,
552,eye,slide,
553,harry,say,
554,harry,hear,
555,slughorn,add,
556,slughorn,say,
557,,get,brother
558,harry,say,
559,slughorn,say,
560,harry,say,
561,slughorn,look,
562,student,sign,
563,thought,seem,
564,people,know,
565,,ask,harry
566,smile,slide,
567,wizard,keep,head
568,,fancy,rate
569,harry,say,
570,slughorn,give,shudder
571,harry,go,
572,dumbledore,reentered,room
573,dumbledore,say,
574,,love,pattern
575,harry,jump,
576,slughorn,seem,
577,,twiddle,thumb
578,dumbledore,say,
579,harry,say,
580,dumbledore,turn,
581,slughorn,say,
582,dumbledore,say,
583,,want,rise
584,dumbledore,chuckle,
585,dumbledore,say,
586,harry,say,
587,,show,horace
588,,like,comfort
589,,like,company
590,,enjoy,feeling
591,horace,form,kind
592,dumbledore,continue,
593,dumbledore,stop,
594,,grasp,arm
595,pressure,disappear,
596,spirit,help,
597,,like,word
598,dumbledore,point,
599,harry,follow,dumbledore
600,dumbledore,illuminate,tip
601,voice,seem,
602,vernon,say,
603,dumbledore,say,
604,eye,fix,
605,harry,say,
606,eye,burn,
607,dumbledore,say,
608,sirius,want,
609,,spoken,both
610,dumbledore,say,
611,,take,hat
612,harry,say,
613,harry,say,
614,harry,say,
615,dumbledore,say,
616,dumbledore,say,
617,,need,friend
618,sirius,want,
619,harry,say,
620,dumbledore,say,
621,ho,ask,
622,harry,say,
623,dumbledore,say,
624,harry,laugh,
625,dumbledore,say,
626,which,ought,
627,harry,nod,
628,,give,security
629,measure,cause,amount
630,harry,say,
631,dumbledore,say,
632,,see,light
633,harry,hear,
634,dumbledore,knock,
635,voice,say,
636,door,open,
637,weasley,stand,
638,dumbledore,say,
639,slughorn,prove,
640,harry,do,
641,harry,look,
642,witch,sit,
643,harry,think,
644,dumbledore,say,
645,tonks,say,
646,remus,come,
647,,turn,spot
648,harry,notice,
649,dumbledore,say,
650,,take,care
651,weasley,close,door
652,both,look,
653,cat,lump,
654,weasley,say,
655,weasley,slide,bowl
656,weasley,sit,
657,,persuade,slughorn
658,harry,nod,
659,weasley,say,
660,harry,shrug,
661,weasley,say,
662,that,show,
663,harry,swallow,amount
664,weasley,beam,
665,scrimgeour,set,office
666,thing,crop,
667,,imagine,kind
668,potion,add,
669,arthur,confiscate,box
670,weasley,end,speech
671,harry,ask,
672,position,suggest,
673,one,point,
674,weasley,say,
675,hand,switch,
676,voice,come,
677,,say,that
678,,ask,question
679,weasley,nod,
680,weasley,whisper,
681,weasley,say,
682,weasley,open,door
683,weasley,say,
684,eater,force,answer
685,weasley,turn,
686,,shake,hand
687,idiot,start,
688,,turn,color
689,weasley,say,
690,weasley,say,
691,harry,stifle,yawn
692,weasley,say,
693,weasley,say,
694,harry,say,
695,crookshanks,leap,
696,weasley,say,
697,harry,saw,glance
698,weasley,point,wand
699,perfume,disguise,smell
700,room,look,
701,harry,know,
702,weasley,put,
703,sunlight,seem,
704,voice,say,
705,voice,say,
706,hand,find,glass
707,harry,say,
708,ron,say,
709,mum,tell,
710,harry,say,
711,hermione,say,
712,,miss,breakfast
713,ron,say,
714,ron,say,
715,ron,say,
716,,need,defense
717,harry,say,
718,,rearrange,feature
719,slughorn,seem,
720,harry,say,
721,voice,say,
722,sister,slouch,
723,ron,ask,
724,ginny,say,
725,,ask,hermione
726,hermione,say,
727,ginny,snap,
728,this,seem,comment
729,harry,say,
730,door,fly,
731,woman,stand,
732,,carry,tray
733,delacour,say,
734,,felt,place
735,ave,long,
736,,remember,seester
737,harry,croak,
738,fleur,say,
739,eye,widen,
740,fleur,turn,
741,bill,go,
742,blankly,say,
743,,enjoy,breakfast
744,weasley,make,noise
745,ginny,say,
746,weasley,say,
747,ron,say,
748,people,think,
749,slyly,say,
750,weasley,say,
751,,like,bit
752,weasley,say,
753,,eat,egg
754,,leave,room
755,,shake,head
756,harry,ask,
757,ron,say,
758,hermione,say,
759,ginny,ask,ron
760,,ask,harry
761,ron,say,
762,bloke,go,tonks
763,ginny,say,
764,hermione,say,
765,harry,say,
766,hermione,say,
767,,ask,ginny
768,harry,say,
769,ginny,say,
770,ron,say,
771,,snap,hermione
772,heart,sink,
773,,pick,fork
774,tonks,know,other
775,ron,say,
776,hermione,say,
777,,ask,harry
778,ron,say,
779,hermione,say,
780,,have,trouble
781,,explain,hermione
782,harry,say,
783,hermione,say,
784,door,open,
785,ginny,come,
786,weasley,say,
787,,swing,hair
788,harry,take,advantage
789,hermione,peer,
790,,cast,sideways
791,hermione,ask,
792,ron,say,
793,harry,say,
794,ron,say,
795,brother,fall,
796,ron,say,
797,hermione,say,
798,ron,say,
799,harry,say,
800,ron,choke,
801,ron,say,
802,harry,say,
803,ron,say,
804,voice,tail,
805,harry,saw,
806,harry,lay,knife
807,dumbledore,say,
808,,fix,eye
809,ron,speak,
810,,continue,one
811,hermione,say,
812,,begin,ron
813,harry,say,
814,hermione,seem,
815,three,gaze,
816,tray,slide,
817,hermione,emerge,
818,,saw,fist
819,ron,say,
820,,mind,that
821,hermione,say,
822,harry,say,
823,ron,say,
824,,give,lesson
825,hermione,say,
826,harry,listen,
827,obstruction,seem,
828,hermione,conclude,
829,ron,say,
830,weasley,say,
831,ginny,say,
832,,squeak,hermione
833,weasley,say,
834,bill,tell,
835,fleur,say,
836,hermione,snap,
837,weasley,say,
838,,mess,runes
839,hermione,say,
840,harry,ask,room
841,,ask,mcgonagall
842,stomach,squirm,
843,ad,say,
844,,sit,examination
845,hermione,point,
846,ron,say,
847,harry,say,
848,hermione,say,
849,,grip,harry
850,,squeal,hermione
851,weasley,squeeze,
852,owl,soar,
853,three,lift,leg
854,harry,move,
855,hand,shake,
856,harry,manage,
857,potter,achieve,
858,harry,read,parchment
859,,run,finger
860,,achieve,outstanding
861,,fail,divination
862,ron,say,
863,weasley,say,
864,ginny,say,
865,hermione,say,
866,ron,say,
867,hermione,shake,head
868,harry,look,
869,,felt,twinge
870,,secure,grade
871,neither,live,
872,harry,remain,
873,bill,bring,news
874,hair,streak,
875,,find,body
876,brother,manage,
877,weasley,say,
878,,ask,bill
879,harry,interrupt,
880,,ask,ron
881,look,say,
882,ginny,say,
883,one,know,
884,lupin,say,
885,letter,arrive,
886,that,give,status
887,,cry,hermione
888,,use,bathroom
889,ron,say,
890,weasley,sigh,
891,weasley,say,
892,ron,say,
893,,buck,idea
894,weasley,say,
895,that,go,
896,ron,turn,
897,bill,pass,bag
898,,demand,ron
899,bill,say,
900,goblin,tighten,security
901,harry,say,
902,ginny,mime,vomiting
903,harry,choke,
904,one,await,
905,ron,say,
906,weasley,say,
907,seat,stretch,
908,,give,status
909,,stow,cloak
910,driver,say,
911,weasley,say,
912,harry,imitate,weasley
913,,boom,harry
914,harry,say,
915,security,mean,
916,hagrid,say,
917,tom,remain,
918,harry,walk,
919,hagrid,raise,umbrella
920,alley,change,
921,most,carry,version
922,lestrange,sneer,
923,number,spring,
924,wizard,rattle,armful
925,,protect,neck
926,weasley,say,
927,weasley,say,
928,weasley,say,
929,three,go,
930,weasley,say,
931,hagrid,say,
932,weasley,look,
933,shopper,stay,
934,hagrid,say,
935,,stand,guard
936,harry,enter,shop
937,child,notice,
938,malkin,say,
939,boy,appear,
940,eye,narrow,
941,malfoy,say,
942,malkin,say,
943,,want,wand
944,hermione,whisper,
945,malfoy,sneer,
946,,black,eye
947,malkin,say,
948,malfoy,stroll,
949,harry,say,
950,malkin,squeal,
951,harry,lower,wand
952,malfoy,smile,
953,harry,look,
954,malfoy,make,movement
955,ron,laugh,
956,,dare,talk
957,malfoy,snarl,
958,narcissa,say,
959,harry,raise,wand
960,malkin,dither,
961,,bellow,malfoy
962,,pull,robe
963,narcissa,say,
964,malfoy,take,care
965,malkin,say,
966,,ask,hagrid
967,harry,say,
968,,see,malfoys
969,unconcerned,say,
970,harry,exchange,look
971,weasley,say,
972,,got,robe
973,harry,buy,ingredient
974,weasley,say,
975,window,hit,eye
976,passersby,look,
977,eye,begin,
978,'s,gripping,nation
979,harry,start,
980,,hear,sort
981,lip,move,
982,ron,say,
983,,lead,way
984,harry,notice,
985,space,clear,
986,hermione,manage,
987,effect,include,expression
988,hermione,say,
989,fred,stand,
990,,shake,hand
991,fred,say,
992,fred,say,
993,,test,most
994,hermione,look,
995,bracingly,say,
996,,give,tour
997,harry,leave,hermione
998,fred,say,
999,twin,shake,hand
1000,george,push,curtain
1001,fred,say,
1002,george,say,
1003,ministry,buy,hundred
1004,,get,order
1005,,help,much
1006,,continue,george
1007,fred,say,
1008,,drop,one
1009,george,say,
1010,harry,saw,
1011,harry,find,
1012,george,say,
1013,harry,say,
1014,fred,say,
1015,take,say,
1016,george,sweep,
1017,,find,product
1018,,ask,fred
